"V2.Begin","V2.End","V2.Peak_date","V2.DailyMQ","V2.Volume","V2.dir_Volume","V2.baseflow_peak","V2.baseflow_begin","V2.baseflow_end","V2.No_Peaks","V2.HQ","V2.HQ_dir","V2.Comments","V2.Duration"
1981-02-02,1981-03-11,1981-02-13,2879.861506,3246.54565061664,2367.16026746544,242.573801324324,194.8936209,355.2724096,3,NA,NA," ",38
1981-02-02,1981-02-25,1981-02-13,2879.861506,1843.83407684448,1297.18910893968,271.596519843478,194.8936209,355.2724096,3,NA,NA,"first wave",24
1981-07-01,1981-07-16,1981-07-03,3791.92813,1802.10584532384,1562.54447054304,156.123738753333,145.6790111,224.0144685,1,NA,NA," ",16
1982-05-28,1982-06-13,1982-06-07,2023.152049,1794.29755156128,1248.49999709856,417.424844425,304.3947863,485.2428793,1,NA,NA," ",17
1983-03-18,1983-03-27,1983-03-20,2126.453889,1200.81403348992,747.49460407632,532.941519333333,492.916721,673.0283135,1,NA,NA," ",10
1983-04-15,1983-04-24,1983-04-17,5124.766664,2364.96446557344,1510.94466768816,917.547002411111,772.9634131,1423.589565,1,NA,NA," ",10
1983-11-20,1983-12-02,1983-11-26,2786.341932,1792.8008082288,1049.20996356,717.19795975,622.1985516,812.1973679,2,NA,NA," ",13
1983-12-13,1983-12-19,1983-12-15,3570.345226,1252.646232408,764.6405815584,905.290141666667,833.1325745,1049.605276,1,NA,NA," ",7
1984-02-14,1984-02-21,1984-02-16,2605.10908,1007.93302178112,568.24609998672,656.886411642857,563.4075315,890.583612,1,NA,NA," ",8
1984-03-28,1984-04-03,1984-03-30,2223.674905,761.44815018432,454.22003340864,551.3784738,468.841761,716.4518994,1,NA,NA," ",7
1984-04-04,1984-04-13,1984-04-06,5934.494439,2205.89389111392,1675.36989780336,628.242310988889,585.0295823,779.4868614,1,NA,NA," ",10
1984-05-29,1984-06-05,1984-05-31,4549.160907,1566.48611621664,1075.6510934328,792.912923371429,768.0423618,855.0893273,1,NA,NA," ",8
1984-06-29,1984-07-15,1984-07-02,3079.456879,2321.44367757984,1658.37030565536,459.9462672,448.1217654,511.185775,1,NA,NA," ",17
