"V4.Begin","V4.End","V4.Peak_date","V4.DailyMQ","V4.Volume","V4.dir_Volume","V4.baseflow_peak","V4.baseflow_begin","V4.baseflow_end","V4.No_Peaks","V4.HQ","V4.HQ_dir","V4.Comments","V4.Duration"
1981-05-11,1981-05-26,1981-05-13,2655.73231,1230.89887430496,1032.16375696176,129.110559113333,120.2980359,186.39196,1,NA,NA," ",16
1981-07-01,1981-07-16,1981-07-06,2873.70804,1222.81083724032,1019.44097979552,144.3413454,119.1816636,194.660709,2,NA,NA," ",16
1982-05-28,1982-06-28,1982-06-07,2464.448938,3018.07445963616,2516.87196181872,165.73788606129,126.8475419,247.4076088,3,NA,NA," ",32
1982-05-28,1982-06-19,1982-06-07,2464.448938,2275.186883544,1919.49478831872,181.647572309091,126.8475419,247.4076088,3,NA,NA,"first wave",23
1982-06-29,1982-07-07,1982-07-01,2684.463868,912.0476073888,667.61721229248,326.995298625,300.3586599,406.9052148,1,NA,NA," ",9
1983-04-15,1983-05-01,1983-04-17,4534.213907,3641.54591863296,2537.16743743488,687.904587275,650.9111508,946.8586426,2,NA,NA," ",17
1983-06-28,1983-07-12,1983-06-30,2417.248348,1161.09453064608,900.90254843424,183.728994042857,171.1782695,259.0333413,1,NA,NA," ",15
1983-06-28,1983-07-08,1983-06-30,2417.248348,845.4904010784,659.6389852128,188.74928386,171.1782695,259.0333413,1,NA,NA,"first wave",11
1983-07-31,1983-08-22,1983-08-08,2724.643432,2248.99939646208,1856.13901222752,194.811709054545,163.158668,250.2045309,2,NA,NA," ",23
1983-07-31,1983-08-17,1983-08-08,2724.643432,1579.80737155968,1276.23343828752,204.121427011765,163.158668,250.2045309,2,NA,NA,"first wave",18
1983-11-10,1984-01-24,1983-12-15,4075.856683,7352.83063505952,5935.77006945552,214.213689046667,151.654731,285.7096411,4,NA,NA," ",76
1983-11-10,1983-12-12,1983-11-26,3388.213356,3899.98419089184,2781.73347056928,404.45989595,151.654731,657.2650609,3,NA,NA,"overlaid",33
1983-12-12,1983-12-21,1983-12-15,4075.856683,1585.81554882336,1057.06736751456,672.404695633333,657.2650609,702.6839651,1,NA,NA,"overlaid",10
1984-02-14,1984-02-23,1984-02-17,2346.960624,1122.67981154592,769.85669023488,409.0584421,319.7084505,587.7584253,1,NA,NA," ",10
1984-03-28,1984-04-14,1984-04-06,4945.889488,3169.7253094896,2383.33191315408,540.926605758823,441.4216768,629.3754315,1,NA,NA," ",18
1984-03-28,1984-04-07,1984-03-31,3247.190761,1434.8393333424,972.2549825568,497.80780321,441.4216768,629.3754315,1,NA,NA,"first wave",11
1984-04-04,1984-04-14,1984-04-06,4244.6418682,1734.8859761472,1462.9957897392,125.8750863,0,629.3754315,1,NA,NA,"second wave",11
1984-05-29,1984-06-05,1984-05-31,7322.452729,2258.6710651056,1638.0853857864,1004.08330164286,974.7268235,1077.474497,1,NA,NA," ",8
1984-06-29,1984-08-26,1984-07-01,3187.158169,4850.55812930688,3736.33254574272,176.085645493103,172.6588741,272.0352445,3,NA,NA," ",59
1984-06-29,1984-07-16,1984-07-01,3187.158169,2068.9637694768,1677.863924424,194.6854169,172.6588741,359.8844879,2,NA,NA,"overlaid",18
1985-09-27,1985-10-02,1985-09-29,2407.725855,771.54883885728,473.99614676208,668.9492178,589.6285696,787.9301901,1,NA,NA," ",6
1986-01-25,1986-02-02,1986-01-28,2271.723377,976.26042207648,610.35843295008,495.9383002125,395.6369286,663.1072529,1,NA,NA," ",9
1986-03-13,1986-03-22,1986-03-15,2160.868655,1164.19324450176,703.62134186976,530.252176666667,480.614512,703.984003,1,NA,NA," ",10
1986-05-20,1986-06-02,1986-05-23,2258.520578,928.146950784,755.51504855472,132.821314192308,114.9283028,192.4646855,1,NA,NA," ",14
1986-08-15,1986-08-30,1986-08-22,3703.414989,2093.8266295344,1625.3287716024,356.731895193333,290.0447774,432.9457441,1,NA,NA," ",16
1986-08-21,1986-08-30,1986-08-22,2868.5138582,969.1177620096,800.78845670352,48.1050826777778,0,432.9457441,1,NA,NA,"second wave",10
