Time,1980-2020-WRF-DIST,SSP545-COOL-FAR,SSP545-HOT-FAR,SSP585-COOL-FAR,SSP585-HOT-FAR
01/01/1981,161.9523571,186.3073015,167.6783214,178.4550844,180.2777035
02/01/1981,158.8123699,177.9638878,171.4540354,180.1187558,180.5474555
03/01/1981,157.1363519,194.0316756,184.8375879,207.373694,201.6584315
04/01/1981,143.6028721,188.2107825,179.0382526,204.2813458,211.4625771
05/01/1981,138.1982121,166.9777929,156.0329694,174.9669526,184.5657465
06/01/1981,134.4127751,153.3886149,144.9763971,159.8530646,169.8292248
07/01/1981,184.3904125,198.6783083,199.428952,197.181912,184.8032889
08/01/1981,183.1725864,205.3340591,218.317671,202.002739,203.0112864
09/01/1981,146.3942625,166.7545166,173.0773581,175.0871079,190.2028761
10/01/1981,138.3122404,154.7166679,154.6200908,159.416704,167.9158684
11/01/1981,133.4571306,150.2915344,146.3311674,151.1958184,157.1896131
12/01/1981,128.4383965,141.3092814,137.1350694,142.9184451,149.3592623
13/01/1981,125.231178,136.8090139,132.1801415,138.2992238,144.4164331
14/01/1981,122.9621076,133.0369771,128.1681174,134.2773606,140.214872
15/01/1981,124.3789909,138.0721449,133.5358186,134.958224,142.8432755
16/01/1981,171.4775844,225.42892,212.6312923,168.397954,198.1311371
17/01/1981,148.1237996,206.9120631,180.4537313,170.5058221,177.0946124
18/01/1981,128.760122,176.4389965,153.0141715,155.0508163,162.8561309
19/01/1981,128.4343736,152.4113655,138.1027519,139.5881261,147.6156363
20/01/1981,128.1071428,145.4866814,134.3845038,134.633972,143.4071796
21/01/1981,118.49485,140.8493024,134.3512916,133.1336735,146.2626989
22/01/1981,115.4277716,133.6260785,125.4912769,126.4672788,136.9620835
23/01/1981,118.2198845,128.1036724,118.1235953,120.2808224,127.789967
24/01/1981,114.4855461,125.1166654,115.4523819,117.8501458,124.5872879
25/01/1981,111.0169893,123.1979701,113.8924548,116.4559681,123.0330636
26/01/1981,108.0632303,121.5793988,111.8954115,114.8278293,120.8731998
27/01/1981,117.0835013,124.4284843,112.1504939,115.2905615,120.6303028
28/01/1981,138.7288994,158.5808978,134.0394323,139.5371328,138.8827373
29/01/1981,122.692603,161.5102523,131.4917658,140.5048363,140.1949636
30/01/1981,113.4333976,144.4717096,134.4579996,137.8651736,138.5392878
31/01/1981,108.4539296,139.9626235,119.1204773,129.461707,130.0377551
01/02/1981,105.0769629,128.4700973,110.8741758,118.6890571,121.2594313
02/02/1981,194.8936209,179.0846988,149.913781,179.3349726,145.8252451
